"sample","latitude","longitude","date","site","location","depth","successful.count","campaignid","broad.bryozoa","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","mean.relief","sd.relief"
"48",-22.696,113.5596,20220522,NA,NA,80.2,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,0,100,0,0
"9",-22.6934,113.5571,20220522,NA,NA,84.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,2.85714285714286,5.71428571428571,0,91.4285714285714,0.2,0.408248290463863
"46",-22.693,113.5605,20220522,NA,NA,79.5,"Yes","2022-05_PtCloates_stereo-BRUVS",0,5,5,60,7.5,22.5,1.93333333333333,0.980265035707122
"34",-22.6928,113.5645,20220522,NA,NA,76.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,9.375,3.125,18.75,0,68.75,0.478260869565217,0.510753918455249
"21",-22.6893,113.5652,20220522,NA,NA,77.3,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.2258064516129,6.45161290322581,48.3870967741936,9.67741935483871,32.258064516129,1.375,0.646898957233327
"51",-22.69,113.5609,20220522,NA,NA,79.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,27.027027027027,13.5135135135135,59.4594594594595,1.16,0.8
"29",-22.691,113.5564,20220522,NA,NA,87.9,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,33.3333333333333,8.33333333333333,58.3333333333333,1.53571428571429,1.07089934019281
"57",-22.6751,113.561,20220526,NA,NA,88.2,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,56.25,21.875,21.875,1.8,0.695852373938459
"63",-22.6744,113.5666,20220526,NA,NA,81.1,"Yes","2022-05_PtCloates_stereo-BRUVS",0,4,0,12,0,84,0.318181818181818,0.476731294622796
"61",-22.6779,113.5654,20220526,NA,NA,79.8,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.2258064516129,3.2258064516129,35.4838709677419,0,58.0645161290323,0.916666666666667,0.775531608229039
"53",-22.6839,113.5636,20220526,NA,NA,78.2,"Yes","2022-05_PtCloates_stereo-BRUVS",0,16.6666666666667,0,20,60,3.33333333333333,2,0.666666666666667
"19",-22.6847,113.5669,20220526,NA,NA,76.4,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,53.3333333333333,26.6666666666667,20,2.04545454545455,0.722249971716872
"38",-22.6868,113.5642,20220526,NA,NA,78.6,"Yes","2022-05_PtCloates_stereo-BRUVS",0,3.2258064516129,6.45161290322581,32.258064516129,9.67741935483871,48.3870967741936,1.32,0.690410505906933
"13",-22.6872,113.5606,20220526,NA,NA,82.1,"Yes","2022-05_PtCloates_stereo-BRUVS",0,0,0,0,14.8148148148148,85.1851851851852,0.3,0.656946685331786
"14",-22.6876,113.5568,20220526,NA,NA,90.5,"Yes","2022-05_PtCloates_stereo-BRUVS",0,2.94117647058824,2.94117647058824,0,0,94.1176470588235,0,0
