Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
220,-22.7067,113.5554,20220525,15:00:42,,,No-take,80.8,Kaitlin,Yes,,,RAW1,,,,,,Kaitlin,20221028,,,,
268,-22.7054,113.5501,20220525,15:12:08,,,No-take,90.6,Kaitlin,Yes,,eDNA,RAW1,,,,,,Kaitlin,20221028,,,,
247,-22.7047,113.5467,20220525,15:26:15,,,No-take,96.4,Kaitlin,Yes,,,RAW1,,,,,,Kaitlin,20221028,,,,
254,-22.6993,113.5499,20220525,15:40:10,,,No-take,96,Kaitlin,Yes,,White flashy light synced. Red lights checked. GTG,RAW1,,,,,,Kaitlin,20221028,,,,
242,-22.7009,113.5519,20220525,15:53:38,,,No-take,88.5,Kaitlin,Yes,,eDNA,RAW1,,,,,,Kaitlin,20221028,,,,
206,-22.7019,113.5608,20220525,16:07:23,,,No-take,76.6,Kaitlin,Yes,,,RAW1,,,,,,Kaitlin,20221028,,,,no fish
257,-22.7001,113.5592,20220525,16:18:12,,,No-take,79.4,,,,B47 - preferential site,RAW1,,,,,,,,,,,
229,-22.6961,113.5632,20220526,13:54:13,,,No-take,76.2,,,,Checked red lights - GTG.,RAW2,,,,,,,,,,,
250,-22.6972,113.5605,20220526,14:06:02,,,No-take,78.1,,,,,RAW2,,,,,,,,,,,
258,-22.6958,113.5593,20220526,14:20:39,,,No-take,79.6,,,,Synced white flashy lights before drop. eDNA,RAW2,,,,,,,,,,,
234,-22.6938,113.5563,20220526,14:39:27,,,No-take,85.6,,,,,RAW2,,,,,,,,,,,
213,-22.6919,113.5534,20220526,14:52:29,,,No-take,93.5,,,,Forgot to show whiteboard before - shown after.,RAW2,,,,,,,,,,,
204,-22.6911,113.5576,20220526,15:07:11,,,No-take,85.8,,,,,RAW2,,,,,,,,,,,
261,-22.6899,113.5608,20220526,15:21:00,,,No-take,78.8,,,,B51 - preferential site. eDNA,RAW2,,,,,,,,,,,
222,-22.6884,113.561,20220526,15:37:06,,,No-take,78.2,,,,,RAW2,,,,,,,,,,,
246,-22.6891,113.5588,20220526,15:52:13,,,No-take,84.3,,,,,RAW2,,,,,,,,,,,
239,-22.6885,113.5564,20220526,16:04:43,,,No-take,90.5,,,,eDNA,RAW2,,,,,,,,,,,
238,-22.6864,113.5594,20220527,8:35:45,,,No-take,85.9,,,,,RAW2,,,,,,,,,,,
210,-22.686,113.5589,20220527,8:51:10,,,No-take,87.7,,,,Missed board completely.,RAW2,,,,,,,,,,,
202,-22.6851,113.5571,20220527,9:03:52,,,No-take,91.4,,,,Showed whiteboard after drop.,RAW2,,,,,,,,,,,
263,-22.684,113.5635,20220527,9:17:26,,,No-take,77.7,,,,B53 - preferential site. Showed whiteboard before drop.,RAW2,,,,,,,,,,,
271,-22.6776,113.5654,20220527,9:32:15,,,No-take,79.5,,,,B61 - preferential site. eDNA,RAW2,,,,,,,,,,,
273,-22.6741,113.5665,20220527,9:48:58,,,No-take,77.2,,,,B63 - preferential site. Red cams checked after drop - GTG.,RAW2,,,,,,,,,,,
267,-22.6751,113.5615,20220527,10:02:00,,,No-take,88.4,,,,B57 - preferential site. eDNA,RAW2,,,,,,,,,,,
