campaignid,period,level_1,level_2,level_3,level_4,level_5,caab_code,count
2020-10_south-west_BOSS,133,Physical,Relief,High,High (>3m),3,82003006,51
2020-10_south-west_BOSS,133,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,133,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,6
2020-10_south-west_BOSS,134,Physical,Relief,High,High (>3m),3,82003006,24
2020-10_south-west_BOSS,134,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,134,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,35
2020-10_south-west_BOSS,135,Physical,Relief,Flat,NA,0,82003001,1
2020-10_south-west_BOSS,135,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,135,Physical,Relief,Low / moderate,Low (<1m),1,82003003,29
2020-10_south-west_BOSS,135,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,20
2020-10_south-west_BOSS,136,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,136,Physical,Relief,High,High (>3m),3,82003006,9
2020-10_south-west_BOSS,136,Physical,Relief,Low / moderate,Low (<1m),1,82003003,29
2020-10_south-west_BOSS,136,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,16
2020-10_south-west_BOSS,145,Physical,Relief,High,High (>3m),3,82003006,4
2020-10_south-west_BOSS,145,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2020-10_south-west_BOSS,145,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,41
2020-10_south-west_BOSS,146,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,146,Physical,Relief,Low / moderate,Low (<1m),1,82003003,30
2020-10_south-west_BOSS,146,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,27
2020-10_south-west_BOSS,147,Physical,Relief,High,High (>3m),3,82003006,11
2020-10_south-west_BOSS,147,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2020-10_south-west_BOSS,147,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,45
2020-10_south-west_BOSS,15,Physical,Relief,High,High (>3m),3,82003006,22
2020-10_south-west_BOSS,15,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2020-10_south-west_BOSS,15,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,35
2020-10_south-west_BOSS,152,Physical,Relief,High,High (>3m),3,82003006,11
2020-10_south-west_BOSS,152,Physical,Relief,Low / moderate,Low (<1m),1,82003003,25
2020-10_south-west_BOSS,152,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,24
2020-10_south-west_BOSS,157,Physical,Relief,High,High (>3m),3,82003006,28
2020-10_south-west_BOSS,157,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2020-10_south-west_BOSS,157,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,30
2020-10_south-west_BOSS,158,Physical,Relief,Low / moderate,Low (<1m),1,82003003,45
2020-10_south-west_BOSS,158,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,11
2020-10_south-west_BOSS,16,Physical,Relief,High,High (>3m),3,82003006,23
2020-10_south-west_BOSS,16,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2020-10_south-west_BOSS,16,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,39
2020-10_south-west_BOSS,17,Physical,Relief,High,High (>3m),3,82003006,21
2020-10_south-west_BOSS,17,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,36
2020-10_south-west_BOSS,180,Physical,Relief,Flat,NA,0,82003001,59
2020-10_south-west_BOSS,180,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2020-10_south-west_BOSS,181,Physical,Relief,Flat,NA,0,82003001,36
2020-10_south-west_BOSS,181,Physical,Relief,Low / moderate,Low (<1m),1,82003003,24
2020-10_south-west_BOSS,189,Physical,Relief,Flat,NA,0,82003001,23
2020-10_south-west_BOSS,189,Physical,Relief,Low / moderate,Low (<1m),1,82003003,36
2020-10_south-west_BOSS,191,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,191,Physical,Relief,Low / moderate,Low (<1m),1,82003003,53
2020-10_south-west_BOSS,192,Physical,Relief,Flat,NA,0,82003001,9
2020-10_south-west_BOSS,192,Physical,Relief,Low / moderate,Low (<1m),1,82003003,51
2020-10_south-west_BOSS,194,Physical,Relief,Flat,NA,0,82003001,6
2020-10_south-west_BOSS,194,Physical,Relief,Low / moderate,Low (<1m),1,82003003,52
2020-10_south-west_BOSS,195,Physical,Relief,High,High (>3m),3,82003006,14
2020-10_south-west_BOSS,195,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,48
2020-10_south-west_BOSS,199,Physical,Relief,High,High (>3m),3,82003006,9
2020-10_south-west_BOSS,199,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,50
2020-10_south-west_BOSS,201,Physical,Relief,Low / moderate,Low (<1m),1,82003003,50
2020-10_south-west_BOSS,201,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2020-10_south-west_BOSS,204,Physical,Relief,High,High (>3m),3,82003006,1
2020-10_south-west_BOSS,204,Physical,Relief,Low / moderate,Low (<1m),1,82003003,34
2020-10_south-west_BOSS,204,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,24
2020-10_south-west_BOSS,206,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,206,Physical,Relief,Low / moderate,Low (<1m),1,82003003,53
2020-10_south-west_BOSS,206,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,6
2020-10_south-west_BOSS,207,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,207,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,207,Physical,Relief,Low / moderate,Low (<1m),1,82003003,19
2020-10_south-west_BOSS,207,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,37
2020-10_south-west_BOSS,210,Physical,Relief,High,High (>3m),3,82003006,22
2020-10_south-west_BOSS,210,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,38
2020-10_south-west_BOSS,215,Physical,Relief,Flat,NA,0,82003001,7
2020-10_south-west_BOSS,215,Physical,Relief,Low / moderate,Low (<1m),1,82003003,47
2020-10_south-west_BOSS,216,Physical,Relief,High,High (>3m),3,82003006,12
2020-10_south-west_BOSS,216,Physical,Relief,Low / moderate,Low (<1m),1,82003003,16
2020-10_south-west_BOSS,216,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,32
2020-10_south-west_BOSS,217,Physical,Relief,Low / moderate,Low (<1m),1,82003003,59
2020-10_south-west_BOSS,218,Physical,Relief,Flat,NA,0,82003001,3
2020-10_south-west_BOSS,218,Physical,Relief,Low / moderate,Low (<1m),1,82003003,57
2020-10_south-west_BOSS,220,Physical,Relief,High,High (>3m),3,82003006,26
2020-10_south-west_BOSS,220,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,34
2020-10_south-west_BOSS,222,Physical,Relief,High,High (>3m),3,82003006,9
2020-10_south-west_BOSS,222,Physical,Relief,Low / moderate,Low (<1m),1,82003003,14
2020-10_south-west_BOSS,222,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,41
2020-10_south-west_BOSS,223,Physical,Relief,High,High (>3m),3,82003006,16
2020-10_south-west_BOSS,223,Physical,Relief,Low / moderate,Low (<1m),1,82003003,12
2020-10_south-west_BOSS,223,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,36
2020-10_south-west_BOSS,224,Physical,Relief,High,High (>3m),3,82003006,1
2020-10_south-west_BOSS,224,Physical,Relief,Low / moderate,Low (<1m),1,82003003,19
2020-10_south-west_BOSS,224,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,39
2020-10_south-west_BOSS,225,Physical,Relief,High,High (>3m),3,82003006,4
2020-10_south-west_BOSS,225,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,59
2020-10_south-west_BOSS,226,Physical,Relief,High,High (>3m),3,82003006,34
2020-10_south-west_BOSS,226,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2020-10_south-west_BOSS,226,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,27
2020-10_south-west_BOSS,227,Physical,Relief,High,High (>3m),3,82003006,17
2020-10_south-west_BOSS,227,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,227,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,45
2020-10_south-west_BOSS,228,Physical,Relief,High,High (>3m),3,82003006,2
2020-10_south-west_BOSS,228,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,58
2020-10_south-west_BOSS,229,Physical,Relief,High,High (>3m),3,82003006,19
2020-10_south-west_BOSS,229,Physical,Relief,Low / moderate,Low (<1m),1,82003003,11
2020-10_south-west_BOSS,229,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,32
2020-10_south-west_BOSS,235,Physical,Relief,High,High (>3m),3,82003006,26
2020-10_south-west_BOSS,235,Physical,Relief,Low / moderate,Low (<1m),1,82003003,12
2020-10_south-west_BOSS,235,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,26
2020-10_south-west_BOSS,235REDO,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,235REDO,Physical,Relief,Low / moderate,Low (<1m),1,82003003,54
2020-10_south-west_BOSS,236,Physical,Relief,High,High (>3m),3,82003006,9
2020-10_south-west_BOSS,236,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,51
2020-10_south-west_BOSS,237,Physical,Relief,Flat,NA,0,82003001,3
2020-10_south-west_BOSS,237,Physical,Relief,Low / moderate,Low (<1m),1,82003003,46
2020-10_south-west_BOSS,239,Physical,Relief,Flat,NA,0,82003001,3
2020-10_south-west_BOSS,239,Physical,Relief,Low / moderate,Low (<1m),1,82003003,52
2020-10_south-west_BOSS,241,Physical,Relief,High,High (>3m),3,82003006,20
2020-10_south-west_BOSS,241,Physical,Relief,Low / moderate,Low (<1m),1,82003003,7
2020-10_south-west_BOSS,241,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,32
2020-10_south-west_BOSS,244,Physical,Relief,High,High (>3m),3,82003006,12
2020-10_south-west_BOSS,244,Physical,Relief,Low / moderate,Low (<1m),1,82003003,26
2020-10_south-west_BOSS,244,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,20
2020-10_south-west_BOSS,245,Physical,Relief,High,High (>3m),3,82003006,2
2020-10_south-west_BOSS,245,Physical,Relief,Low / moderate,Low (<1m),1,82003003,10
2020-10_south-west_BOSS,245,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,47
2020-10_south-west_BOSS,247,Physical,Relief,Flat,NA,0,82003001,7
2020-10_south-west_BOSS,247,Physical,Relief,Low / moderate,Low (<1m),1,82003003,29
2020-10_south-west_BOSS,247,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,16
2020-10_south-west_BOSS,248,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,248,Physical,Relief,Low / moderate,Low (<1m),1,82003003,32
2020-10_south-west_BOSS,248,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,14
2020-10_south-west_BOSS,250,Physical,Relief,Flat,NA,0,82003001,26
2020-10_south-west_BOSS,250,Physical,Relief,Low / moderate,Low (<1m),1,82003003,34
2020-10_south-west_BOSS,251,Physical,Relief,Flat,NA,0,82003001,15
2020-10_south-west_BOSS,251,Physical,Relief,Low / moderate,Low (<1m),1,82003003,36
2020-10_south-west_BOSS,251,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,4
2020-10_south-west_BOSS,252,Physical,Relief,Flat,NA,0,82003001,22
2020-10_south-west_BOSS,252,Physical,Relief,Low / moderate,Low (<1m),1,82003003,38
2020-10_south-west_BOSS,253,Physical,Relief,Flat,NA,0,82003001,17
2020-10_south-west_BOSS,253,Physical,Relief,Low / moderate,Low (<1m),1,82003003,41
2020-10_south-west_BOSS,254,Physical,Relief,Flat,NA,0,82003001,20
2020-10_south-west_BOSS,254,Physical,Relief,Low / moderate,Low (<1m),1,82003003,38
2020-10_south-west_BOSS,258,Physical,Relief,High,High (>3m),3,82003006,13
2020-10_south-west_BOSS,258,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,47
2020-10_south-west_BOSS,259,Physical,Relief,High,High (>3m),3,82003006,15
2020-10_south-west_BOSS,259,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,45
2020-10_south-west_BOSS,260,Physical,Relief,High,High (>3m),3,82003006,4
2020-10_south-west_BOSS,260,Physical,Relief,Low / moderate,Low (<1m),1,82003003,4
2020-10_south-west_BOSS,260,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,50
2020-10_south-west_BOSS,261,Physical,Relief,High,High (>3m),3,82003006,46
2020-10_south-west_BOSS,261,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
2020-10_south-west_BOSS,261,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,15
2020-10_south-west_BOSS,262,Physical,Relief,High,High (>3m),3,82003006,6
2020-10_south-west_BOSS,262,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,53
2020-10_south-west_BOSS,263,Physical,Relief,High,High (>3m),3,82003006,20
2020-10_south-west_BOSS,263,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,40
2020-10_south-west_BOSS,264,Physical,Relief,Low / moderate,Low (<1m),1,82003003,31
2020-10_south-west_BOSS,264,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,28
2020-10_south-west_BOSS,265,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,265,Physical,Relief,Low / moderate,Low (<1m),1,82003003,49
2020-10_south-west_BOSS,265,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,7
2020-10_south-west_BOSS,266,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,266,Physical,Relief,Low / moderate,Low (<1m),1,82003003,40
2020-10_south-west_BOSS,266,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,22
2020-10_south-west_BOSS,267,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,267,Physical,Relief,Low / moderate,Low (<1m),1,82003003,39
2020-10_south-west_BOSS,267,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,20
2020-10_south-west_BOSS,269,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,269,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,269,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,55
2020-10_south-west_BOSS,272,Physical,Relief,High,High (>3m),3,82003006,6
2020-10_south-west_BOSS,272,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2020-10_south-west_BOSS,272,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,51
2020-10_south-west_BOSS,273,Physical,Relief,High,High (>3m),3,82003006,5
2020-10_south-west_BOSS,273,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2020-10_south-west_BOSS,273,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,48
2020-10_south-west_BOSS,274,Physical,Relief,Low / moderate,Low (<1m),1,82003003,51
2020-10_south-west_BOSS,275,Physical,Relief,Flat,NA,0,82003001,2
2020-10_south-west_BOSS,275,Physical,Relief,Low / moderate,Low (<1m),1,82003003,56
2020-10_south-west_BOSS,276,Physical,Relief,Flat,NA,0,82003001,3
2020-10_south-west_BOSS,276,Physical,Relief,Low / moderate,Low (<1m),1,82003003,53
2020-10_south-west_BOSS,276,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2020-10_south-west_BOSS,277,Physical,Relief,Flat,NA,0,82003001,5
2020-10_south-west_BOSS,277,Physical,Relief,Low / moderate,Low (<1m),1,82003003,48
2020-10_south-west_BOSS,278,Physical,Relief,Flat,NA,0,82003001,5
2020-10_south-west_BOSS,278,Physical,Relief,Low / moderate,Low (<1m),1,82003003,48
2020-10_south-west_BOSS,278REDO,Physical,Relief,Flat,NA,0,82003001,3
2020-10_south-west_BOSS,278REDO,Physical,Relief,Low / moderate,Low (<1m),1,82003003,56
2020-10_south-west_BOSS,280,Physical,Relief,Flat,NA,0,82003001,8
2020-10_south-west_BOSS,280,Physical,Relief,Low / moderate,Low (<1m),1,82003003,49
2020-10_south-west_BOSS,281,Physical,Relief,High,High (>3m),3,82003006,1
2020-10_south-west_BOSS,281,Physical,Relief,Low / moderate,Low (<1m),1,82003003,55
2020-10_south-west_BOSS,282,Physical,Relief,Flat,NA,0,82003001,3
2020-10_south-west_BOSS,282,Physical,Relief,Low / moderate,Low (<1m),1,82003003,53
2020-10_south-west_BOSS,282,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2020-10_south-west_BOSS,283,Physical,Relief,Flat,NA,0,82003001,9
2020-10_south-west_BOSS,283,Physical,Relief,Low / moderate,Low (<1m),1,82003003,46
2020-10_south-west_BOSS,283,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,5
2020-10_south-west_BOSS,284,Physical,Relief,Low / moderate,Low (<1m),1,82003003,45
2020-10_south-west_BOSS,285,Physical,Relief,Low / moderate,Low (<1m),1,82003003,41
2020-10_south-west_BOSS,285,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,9
2020-10_south-west_BOSS,286,Physical,Relief,Flat,NA,0,82003001,15
2020-10_south-west_BOSS,286,Physical,Relief,Low / moderate,Low (<1m),1,82003003,30
2020-10_south-west_BOSS,288,Physical,Relief,Flat,NA,0,82003001,16
2020-10_south-west_BOSS,288,Physical,Relief,Low / moderate,Low (<1m),1,82003003,29
2020-10_south-west_BOSS,290,Physical,Relief,Flat,NA,0,82003001,32
2020-10_south-west_BOSS,290,Physical,Relief,Low / moderate,Low (<1m),1,82003003,22
2020-10_south-west_BOSS,291,Physical,Relief,Flat,NA,0,82003001,3
2020-10_south-west_BOSS,291,Physical,Relief,Low / moderate,Low (<1m),1,82003003,58
2020-10_south-west_BOSS,293,Physical,Relief,High,High (>3m),3,82003006,10
2020-10_south-west_BOSS,293,Physical,Relief,Low / moderate,Low (<1m),1,82003003,14
2020-10_south-west_BOSS,293,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,37
2020-10_south-west_BOSS,294,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,294,Physical,Relief,Low / moderate,Low (<1m),1,82003003,50
2020-10_south-west_BOSS,294,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2020-10_south-west_BOSS,295,Physical,Relief,Flat,NA,0,82003001,23
2020-10_south-west_BOSS,295,Physical,Relief,Low / moderate,Low (<1m),1,82003003,31
2020-10_south-west_BOSS,297,Physical,Relief,Low / moderate,Low (<1m),1,82003003,53
2020-10_south-west_BOSS,298,Physical,Relief,Flat,NA,0,82003001,9
2020-10_south-west_BOSS,298,Physical,Relief,Low / moderate,Low (<1m),1,82003003,50
2020-10_south-west_BOSS,299,Physical,Relief,Flat,NA,0,82003001,18
2020-10_south-west_BOSS,299,Physical,Relief,Low / moderate,Low (<1m),1,82003003,38
2020-10_south-west_BOSS,3,Physical,Relief,High,High (>3m),3,82003006,1
2020-10_south-west_BOSS,3,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,60
2020-10_south-west_BOSS,302,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,302,Physical,Relief,Low / moderate,Low (<1m),1,82003003,47
2020-10_south-west_BOSS,307,Physical,Relief,Flat,NA,0,82003001,17
2020-10_south-west_BOSS,307,Physical,Relief,Low / moderate,Low (<1m),1,82003003,32
2020-10_south-west_BOSS,308,Physical,Relief,Flat,NA,0,82003001,8
2020-10_south-west_BOSS,308,Physical,Relief,Low / moderate,Low (<1m),1,82003003,50
2020-10_south-west_BOSS,310,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,310,Physical,Relief,Low / moderate,Low (<1m),1,82003003,29
2020-10_south-west_BOSS,310,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,31
2020-10_south-west_BOSS,311,Physical,Relief,High,High (>3m),3,82003006,1
2020-10_south-west_BOSS,311,Physical,Relief,Low / moderate,Low (<1m),1,82003003,3
2020-10_south-west_BOSS,311,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,56
2020-10_south-west_BOSS,312,Physical,Relief,Flat,NA,0,82003001,17
2020-10_south-west_BOSS,312,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,312,Physical,Relief,Low / moderate,Low (<1m),1,82003003,23
2020-10_south-west_BOSS,312,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,16
2020-10_south-west_BOSS,313,Physical,Relief,Low / moderate,Low (<1m),1,82003003,59
2020-10_south-west_BOSS,321,Physical,Relief,Flat,NA,0,82003001,4
2020-10_south-west_BOSS,321,Physical,Relief,Low / moderate,Low (<1m),1,82003003,34
2020-10_south-west_BOSS,322,Physical,Relief,Flat,NA,0,82003001,13
2020-10_south-west_BOSS,322,Physical,Relief,Low / moderate,Low (<1m),1,82003003,43
2020-10_south-west_BOSS,322,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,1
2020-10_south-west_BOSS,323,Physical,Relief,Low / moderate,Low (<1m),1,82003003,51
2020-10_south-west_BOSS,323,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2020-10_south-west_BOSS,324,Physical,Relief,Flat,NA,0,82003001,22
2020-10_south-west_BOSS,324,Physical,Relief,Low / moderate,Low (<1m),1,82003003,38
2020-10_south-west_BOSS,325,Physical,Relief,High,High (>3m),3,82003006,3
2020-10_south-west_BOSS,325,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2020-10_south-west_BOSS,325,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,55
2020-10_south-west_BOSS,326,Physical,Relief,High,High (>3m),3,82003006,37
2020-10_south-west_BOSS,326,Physical,Relief,Low / moderate,Low (<1m),1,82003003,1
2020-10_south-west_BOSS,326,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,15
2020-10_south-west_BOSS,327,Physical,Relief,High,High (>3m),3,82003006,14
2020-10_south-west_BOSS,327,Physical,Relief,High,Wall,4,82003007,2
2020-10_south-west_BOSS,327,Physical,Relief,Low / moderate,Low (<1m),1,82003003,5
2020-10_south-west_BOSS,327,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,43
2020-10_south-west_BOSS,328,Physical,Relief,High,High (>3m),3,82003006,40
2020-10_south-west_BOSS,328,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,25
2020-10_south-west_BOSS,329,Physical,Relief,High,High (>3m),3,82003006,16
2020-10_south-west_BOSS,329,Physical,Relief,Low / moderate,Low (<1m),1,82003003,13
2020-10_south-west_BOSS,329,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,30
2020-10_south-west_BOSS,330,Physical,Relief,Low / moderate,Low (<1m),1,82003003,54
2020-10_south-west_BOSS,330,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,7
2020-10_south-west_BOSS,331,Physical,Relief,Low / moderate,Low (<1m),1,82003003,61
2020-10_south-west_BOSS,333,Physical,Relief,High,High (>3m),3,82003006,4
2020-10_south-west_BOSS,333,Physical,Relief,Low / moderate,Low (<1m),1,82003003,39
2020-10_south-west_BOSS,333,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,17
2020-10_south-west_BOSS,334,Physical,Relief,Flat,NA,0,82003001,11
2020-10_south-west_BOSS,334,Physical,Relief,Low / moderate,Low (<1m),1,82003003,42
2020-10_south-west_BOSS,334,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,10
2020-10_south-west_BOSS,335,Physical,Relief,High,High (>3m),3,82003006,20
2020-10_south-west_BOSS,335,Physical,Relief,Low / moderate,Low (<1m),1,82003003,15
2020-10_south-west_BOSS,335,Physical,Relief,Low / moderate,Moderate (1-3m),2,82003004,28
2020-10_south-west_BOSS,336,Physical,Relief,High,High (>3m),3,82003006,17
2020-10_south-west_BOSS,336,Physical,Relief,Low / moderate,Low (<1m),1,82003003,2
