campaignid,opcode,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,caab_code,count
2021-05_PtCloates_stereo-BRUVs,25,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,11168902,1
2021-05_PtCloates_stereo-BRUVs,25,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,11001000,2
2021-05_PtCloates_stereo-BRUVs,25,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900044,1
2021-05_PtCloates_stereo-BRUVs,25,Biota,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,10000912,1
2021-05_PtCloates_stereo-BRUVs,25,Biota,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,10000903,1
2021-05_PtCloates_stereo-BRUVs,25,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,24
2021-05_PtCloates_stereo-BRUVs,26,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,82001011,1
2021-05_PtCloates_stereo-BRUVs,26,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,9
2021-05_PtCloates_stereo-BRUVs,27,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,11168902,6
2021-05_PtCloates_stereo-BRUVs,27,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,11168912,5
2021-05_PtCloates_stereo-BRUVs,27,Biota,Cnidaria,Corals,Black & Octocorals,Whip,NA,NA,NA,NA,NA,NA,11168917,1
2021-05_PtCloates_stereo-BRUVs,27,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,11001000,1
2021-05_PtCloates_stereo-BRUVs,27,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900044,4
2021-05_PtCloates_stereo-BRUVs,27,Biota,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000000,2
2021-05_PtCloates_stereo-BRUVs,27,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,9
2021-05_PtCloates_stereo-BRUVs,3,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,11168902,2
2021-05_PtCloates_stereo-BRUVs,3,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,11168912,3
2021-05_PtCloates_stereo-BRUVs,3,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900044,6
2021-05_PtCloates_stereo-BRUVs,3,Biota,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,10000912,3
2021-05_PtCloates_stereo-BRUVs,3,Biota,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,10000903,3
2021-05_PtCloates_stereo-BRUVs,3,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,6
2021-05_PtCloates_stereo-BRUVs,4,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,11168902,4
2021-05_PtCloates_stereo-BRUVs,4,Biota,Cnidaria,Corals,Black & Octocorals,Fan (2D),NA,NA,NA,NA,NA,NA,11168912,4
2021-05_PtCloates_stereo-BRUVs,4,Biota,Cnidaria,Corals,Black & Octocorals,Whip,NA,NA,NA,NA,NA,NA,11168917,2
2021-05_PtCloates_stereo-BRUVs,4,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,11001000,1
2021-05_PtCloates_stereo-BRUVs,4,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900044,3
2021-05_PtCloates_stereo-BRUVs,4,Biota,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,10000903,3
2021-05_PtCloates_stereo-BRUVs,4,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,8
2021-05_PtCloates_stereo-BRUVs,5,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,82001011,1
2021-05_PtCloates_stereo-BRUVs,5,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,28
2021-05_PtCloates_stereo-BRUVs,6,Biota,Cnidaria,Corals,Black & Octocorals,Branching (3D),NA,NA,NA,NA,NA,NA,11168902,2
2021-05_PtCloates_stereo-BRUVs,6,Physical,Substrate,Unconsolidated (soft),Pebble / gravel,Gravel (2-10mm),NA,NA,NA,NA,NA,NA,82001011,2
2021-05_PtCloates_stereo-BRUVs,6,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,25
2021-05_PtCloates_stereo-BRUVs,7,Biota,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,99900044,3
2021-05_PtCloates_stereo-BRUVs,7,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,32
2021-05_PtCloates_stereo-BRUVs,8,Biota,Cnidaria,Hydroids,NA,NA,NA,NA,NA,NA,NA,NA,11001000,2
2021-05_PtCloates_stereo-BRUVs,8,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,29
2021-05_PtCloates_stereo-BRUVs,9,Physical,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Fine sand (no shell fragments),NA,NA,NA,NA,NA,NA,82001015,27
