campaignid,opcode,level_1,caab_code,level_2,level_3,level_4,level_5,level_6,level_7,level_8,family,genus,species,count
2020-06_south-west_stereoBRUVs,08,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,4
2020-06_south-west_stereoBRUVs,08,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,08,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,08,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,16
2020-06_south-west_stereoBRUVs,09,Biota,20000000,Bryozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,09,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,09,Physical,82001004,Substrate,Consolidated (hard),Cobbles,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,09,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,16
2020-06_south-west_stereoBRUVs,10,Biota,20000000,Bryozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,10,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,10,Biota,80300908,Macroalgae,Erect fine branching,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,10,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,13
2020-06_south-west_stereoBRUVs,10,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,10,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,1
2020-06_south-west_stereoBRUVs,10,Biota,10000901,Sponges,Crusts,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,10,Biota,10000909,Sponges,Cup-likes,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,10,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,10,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,10,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,11,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,11,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,4
2020-06_south-west_stereoBRUVs,11,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,1
2020-06_south-west_stereoBRUVs,11,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,11,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,11,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,11,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,12,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,12,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,4
2020-06_south-west_stereoBRUVs,12,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,2
2020-06_south-west_stereoBRUVs,12,Biota,10000901,Sponges,Crusts,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,12,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,12,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,13,Biota,80300929,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,13,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,13,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,13,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,13,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,13,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,13,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,13,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,14,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,14,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,14,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,25
2020-06_south-west_stereoBRUVs,14,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,5
2020-06_south-west_stereoBRUVs,14,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,15,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,15,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,15,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,13
2020-06_south-west_stereoBRUVs,15,Biota,10000901,Sponges,Crusts,NA,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,15,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,15,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,15,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,15,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,16,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,16,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,16,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,21
2020-06_south-west_stereoBRUVs,16,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,16,Biota,10000901,Sponges,Crusts,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,16,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,16,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,17,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereoBRUVs,17,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,17,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,3
2020-06_south-west_stereoBRUVs,17,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,17,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,17,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereoBRUVs,18,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,18,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,21
2020-06_south-west_stereoBRUVs,18,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,18,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,1
2020-06_south-west_stereoBRUVs,18,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,19,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,19,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,19,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,19,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,19,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,18
2020-06_south-west_stereoBRUVs,20,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,20,Biota,10000909,Sponges,Cup-likes,NA,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,20,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,20,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,16
2020-06_south-west_stereoBRUVs,20,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,21,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,11
2020-06_south-west_stereoBRUVs,21,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,1
2020-06_south-west_stereoBRUVs,21,Biota,10000901,Sponges,Crusts,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,21,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,21,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,15
2020-06_south-west_stereoBRUVs,21,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,22,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,9
2020-06_south-west_stereoBRUVs,22,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,3
2020-06_south-west_stereoBRUVs,22,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,22,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,22,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,22,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,22,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,23,Biota,80300929,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,23,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,23,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,23,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,1
2020-06_south-west_stereoBRUVs,23,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,23,Biota,63618905,Seagrasses,Strap-like leaves,NA,NA,NA,NA,NA,Cymodoceaceae,Thalassodendron,spp,1
2020-06_south-west_stereoBRUVs,23,Biota,99900044,Sessile invertebrates,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,23,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,23,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,23,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,7
2020-06_south-west_stereoBRUVs,23,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,24,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,24,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,3
2020-06_south-west_stereoBRUVs,24,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,24,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,24,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,24,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,8
2020-06_south-west_stereoBRUVs,24,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,25,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,25,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,6
2020-06_south-west_stereoBRUVs,25,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,25,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,25,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,25,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,25,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,25,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,26,Biota,20000000,Bryozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,26,Biota,80300911,Macroalgae,Articulated calcareous,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,26,Biota,80300929,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA,4
2020-06_south-west_stereoBRUVs,26,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,26,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,26,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,26,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,26,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,11
2020-06_south-west_stereoBRUVs,26,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,6
2020-06_south-west_stereoBRUVs,27,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,27,Biota,80300906,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,27,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,1
2020-06_south-west_stereoBRUVs,27,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,27,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,27,Biota,10000000,Sponges,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,27,Physical,82001004,Substrate,Consolidated (hard),Cobbles,NA,NA,NA,NA,NA,NA,NA,3
2020-06_south-west_stereoBRUVs,27,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,12
2020-06_south-west_stereoBRUVs,27,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,16
2020-06_south-west_stereoBRUVs,28,Biota,80300929,Macroalgae,Encrusting,Red,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,28,Biota,80300904,Macroalgae,Erect coarse branching,Brown,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,28,Biota,80300906,Macroalgae,Erect coarse branching,Red,NA,NA,NA,NA,NA,NA,NA,5
2020-06_south-west_stereoBRUVs,28,Biota,80300910,Macroalgae,Erect fine branching,Red,NA,NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereoBRUVs,28,Biota,54079009,Macroalgae,Large canopy-forming,Brown,NA,NA,NA,NA,Lessoniaceae,Ecklonia,radiata,4
2020-06_south-west_stereoBRUVs,28,Biota,80300000,Macroalgae,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
2020-06_south-west_stereoBRUVs,28,Biota,10000912,Sponges,Erect forms,NA,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,28,Biota,10000903,Sponges,Massive forms,NA,NA,NA,NA,NA,NA,NA,NA,2
2020-06_south-west_stereoBRUVs,28,Physical,82001002,Substrate,Consolidated (hard),Rock,NA,NA,NA,NA,NA,NA,NA,1
2020-06_south-west_stereoBRUVs,28,Physical,82001014,Substrate,Unconsolidated (soft),Sand / mud (<2mm),Coarse sand (with shell fragments),NA,NA,NA,NA,NA,NA,2
