Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,System,Left.cam,Right.cam,Video.notes,Raw.hdd.number,Con.hdd.number,Forward.habitat.image.saved,Forward.habitat.image.annotated,Backwards.habitat.image.saved,Backward.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,AFID.training,Notes
12,-22.7505,113.5476,20220520,12:11:27,,,,80.5,Henry,Yes,Yes,3,31,32,eDNA (passive),RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220804,Kaitlin,Kaitlin,20220913,Henry 20221011,
44,-22.7482,113.549,20220520,12:17:32,,,,79.4,Henry,Yes,Yes,4,33,34,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220810,Kaitlin,Kaitlin,20220914,Henry 20221011,
37,-22.7475,113.5445,20220520,12:23:05,,,,81.3,Kaitlin,Yes,Yes,5,35,36,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220808,,Molly/Kaitlin,20221117,,
6,-22.7459,113.5531,20220520,12:30:12,,,,74.3,Kaitlin,Yes,Yes,6,37,38,eDNA (passive),RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220808,Henry,Henry,20221018,,
59,-22.7437,113.5452,20220520,12:37:35,,,,83.5,Kaitlin,Yes,Yes,7,39,40,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220809,Henry,Henry,20221019,,Check juvenile lethrinus
24,-22.7426,113.5507,20220520,12:42:58,,,,79.3,Kaitlin,Yes,Already been done?,8,41,42,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220815,,Mystery?,,,Already been done but row not filled out?
16,-22.7406,113.5395,20220520,14:06:11,,,,93.2,Henry,Yes,Yes,1,27,28,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220810,Kaitlin,Kaitlin,20220914,Kaitlin 20221011,
62,-22.7375,113.542,20220520,14:11:26,,,,90.1,Henry,Yes,Yes,2,29,30,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220811,Kaitlin,Kaitlin,20220914,Kaitlin 20221011,
23,-22.734,113.542,20220520,14:15:28,,,,91.4,Henry,Yes,Yes,3,31,32,eDNA (passive),RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220811,Kaitlin,Kaitlin,20220914,Kaitlin 20221011,
49,-22.7309,113.5443,20220520,14:20:55,,,,89.5,N/A,No,No,4,33,34,BRUV upside down underwater,RAW1,n/a,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,,
36,-22.7318,113.5477,20220520,14:25:23,,,,83.2,Henry,Yes,Yes,5,35,36,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220817,Kaitlin,Kaitlin,20220914,Kaitlin 20221012,
64,-22.7343,113.5508,20220520,14:30:16,,,,79.2,Kaitlin,Yes,Yes,6,37,38,eDNA (passive). Rear camera in wrong housing all day. Cam#19 should be in system 7.,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220815,Henry,Henry,20221019,,
3,-22.7379,113.5515,20220520,14:34:36,,,,78.3,Kaitlin,Yes,Yes,7,39,40,Rear camera in wrong housing all day. Cam #20 should be in system 6.,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220816,Henry,Henry,20221019,,
4,-22.7337,113.5555,20220520,14:40:43,,,,73.9,Kaitlin,Yes,Yes,8,41,42,Note backwards camera was put in wrong housing all day - should be #23.,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220817,Henry,Henry,20221020,,
43,-22.7328,113.5589,20220522,8:03:30,,,,70.6,Henry,Yes,Yes,1,27,28,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220817,Kaitlin,Kaitlin,20220919,Kaitlin 20221012,
8,-22.7298,113.5538,20220522,8:12:35,,,,76.4,Kaitlin,Yes,Yes,2,29,30,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220817,Henry,Henry,20221020,,
11,-22.7274,113.5498,20220522,8:18:17,,,,81,Henry,Yes,Yes,3,31,32,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220817,Kaitlin,Kaitlin,20220919,Kaitlin 20221012,
10,-22.7272,113.5424,20220522,8:25:30,,,,94.7,N/A,No,No,4,33,34,BRUV tips upwards 1:10:52 in (36:21min in period),RAW1,n/a,Yes,Yes,Yes,Yes,N/A,N/A,N/A,N/A,N/A,,
27,-22.7254,113.5459,20220522,8:31:16,,,,90.4,Kaitlin,Yes,Yes,5,35,36,Showed wrong camera number at start (35 but then 36) - fixed in field after. ONLY ON BOTTOM FOR 59:15min,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitin,20220822,Henry,Henry,20221024,,
32,-22.7239,113.5552,20220522,8:39:35,,,,78.3,Henry,Yes,Yes,6,37,38,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220818,Kaitlin,Kaitlin,20220919,Henry 20221011,
20,-22.7212,113.5561,20220522,8:44:53,,,,76,Henry,Yes,Yes,7,39,40,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220824,Kaitlin,Kaitlin,20220919,Henry 20221012,Accidentally deleted 1x length measurement of copy (original unaffected)
5,-22.7218,113.5506,20220522,8:50:54,,,,81.9,Kaitlin,Yes,Yes,8,41,42,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220818,Henry,Henry,20221024,,
1,-22.7221,113.5447,20220522,10:03:24,,,,93.9,Kaitlin,Yes,Yes,1,27,28,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220823,Henry,Henry,20221024,,
33,-22.719,113.549,20220522,10:09:30,,,,85.4,Kaitlin,Yes,Yes,2,29,30,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220823,Henry,Henry,20221024,,
50,-22.7173,113.5528,20220522,10:14:30,,,,81.9,Kaitlin,Yes,Yes,3,31,32,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220823,Henry,Henry,20221025,,
41,-22.7154,113.5479,20220522,10:21:59,,,,89.7,Henry,Yes,Yes,4,33,34,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220824,Kaitlin,Kaitlin,20220919,Henry 20221012,
18,-22.7101,113.5492,20220522,10:29:53,,,,91.5,Henry,Yes,Yes,5,35,36,Bottom time 00:59:45,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220824,Kaitlin,Kaitlin,20220919,Henry 20221012,Changed caeruleopinnatus to chrysophrys
39,-22.7105,113.5539,20220522,10:35:24,,,,78.9,Kaitlin,Yes,Yes,6,37,38,Bottom time 00:59:40,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220824,Henry,Henry,20221025,,
22,-22.7072,113.5554,20220522,10:42:04,,,,81.3,Henry,Yes,Yes,7,39,40,Bottom time 00:59:00,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220825,Kaitlin,Kaitlin,20220919,Crazy busy,
30,-22.7058,113.5588,20220522,10:47:54,,,,78.5,Kaitlin,Yes,Yes,8,41,42,showed R cam wrong number - C,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220824,Henry,Henry,20221025,,Check Carangidae blank
58,-22.7056,113.5502,20220522,12:28:44,,,,90.9,Kaitlin,Yes,Yes,1,27,28,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220829,Henry,Henry,20221103,,
25,-22.7053,113.5466,20220522,12:34:21,,,,99.5,Kaitlin,Yes,Yes,2,29,30,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220824,Henry,Henry,20221108,,
17,-22.7011,113.5532,20220522,12:45:32,,,,86.5,Henry,Yes,Yes,3,31,32,Note opcode 17 time on ipad will be out.,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220831,Kaitlin,Kaitlin,20220919,Crazy busy,
35,-22.6987,113.551,20220522,12:46:10,,,,94.6,Kaitlin,Yes,Yes,4,33,34,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220829,Henry,Henry,20221108,,
42,-22.6952,113.5537,20220522,12:51:14,,,,92.3,Kaitlin,Yes,Yes,5,35,36,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220829,Henry,Henry,20221108,,
15,-22.6977,113.5561,20220522,12:55:29,,,,83.9,Kaitlin,Yes,Yes,6,37,38,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220830,Henry,Henry,20221108,,Claude check A. rutilans (was 'unknown')
47,-22.6999,113.5592,20220522,12:59:50,,,,80.8,Kaitlin,Yes,Yes,7,39,40,,RAW1,fixed,Yes,Yes,Yes,Yes,Kaitlin,20220830,Henry,Henry,20221201,,Claude check juvenile M. latovittatus
28,-22.6987,113.5625,20220522,13:05:17,,,,76.3,Kaitlin,Yes,Yes,8,41,42,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220830,,Molly/Kaitlin,20221117,,
2,-22.6957,113.5628,20220522,14:16:25,,,,77.3,Kaitlin,Yes,Yes,1,27,28,"Field of view obstructed, leave until last",RAW1,unmeasured,Yes,Yes,Yes,Yes,Kaitlin,20220908,Henry,Henry,20221201,,
48,-22.696,113.5596,20220522,14:21:46,,,,80.2,Henry,Yes,Yes,2,29,30,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220831,Kaitlin,Kaitlin,20220919,Kaitlin 20221012,
9,-22.6934,113.5571,20220522,14:27:15,,,,84.9,Henry,Yes,Yes,3,31,32,,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220831,Kaitlin,Kaitlin,20220919,,
46,-22.693,113.5605,20220522,14:30:54,,,,79.5,Kaitlin,Yes,Yes,4,33,34,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220908,,Molly/Kaitlin,20221117,,
34,-22.6928,113.5645,20220522,14:38:27,,,,76.4,Kaitlin,Yes,Yes,5,35,36,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220831,,Molly/Kaitlin,20221117,,
21,-22.6893,113.5652,20220522,14:43:14,,,,77.3,Kaitlin,Yes,Yes,6,37,38,,RAW1,unmeasured,Yes,Yes,Yes,Yes,Kaitlin,20220907,Henry,Henry,20221201,,
51,-22.69,113.5609,20220522,14:49:13,,,,79.4,Henry,Yes,Yes,7,39,40,Bottom time 00:59:45,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220901,Kaitlin,Kaitlin,20220919,,
29,-22.691,113.5564,20220522,14:54:59,,,,87.9,Henry,Yes,Yes,8,41,42,Bait bag may have been emptied by fish,RAW1,all g,Yes,Yes,Yes,Yes,Henry,20220901,Kaitlin,Kaitlin,20220919,,
57,-22.6751,113.561,20220526,8:11:51,,,,88.2,Kaitlin,Yes,Yes,1,27,28,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220907,,Molly/Kaitlin,20221117,,
63,-22.6744,113.5666,20220526,8:17:59,,,,81.1,Kaitlin,Yes,In progress,2,29,30,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220907,,,,,
61,-22.6779,113.5654,20220526,8:23:34,,,,79.8,Kaitlin,Yes,Yes,3,31,32,,RAW1,unmeasured,Yes,Yes,Yes,Yes,Kaitlin,20220907,Henry,Henry,20221201,,
53,-22.6839,113.5636,20220526,8:29:10,,,,78.2,Kaitlin,Yes,Yes,4,33,34,,RAW1,unmeasured,Yes,Yes,Yes,Yes,Kaitlin,20220907,Henry,Henry,20221201,,
19,-22.6847,113.5669,20220526,8:33:41,,,,76.4,Kaitlin,Yes,,5,35,36,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220907,,,,,
38,-22.6868,113.5642,20220526,8:38:39,,,,78.6,Kaitlin,Yes,,6,37,38,,RAW1,unmeasured,Yes,Yes,Yes,Yes,Kaitlin,20220907,,,,,
13,-22.6872,113.5606,20220526,8:42:37,,,,82.1,Kaitlin,Yes,,7,39,40,Note SD card written in wrong. Written in as 241 but actually is 249. Changed after.,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220907,,,,,
14,-22.6876,113.5568,20220526,8:48:10,,,,90.5,Kaitlin,Yes,Yes,8,41,42,,RAW1,all g,Yes,Yes,Yes,Yes,Kaitlin,20220908,,Molly/Kaitlin,20221117,,
