Dot Point Measurements

Generated: Thursday 19 January 2023 14:29:18

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Frame info 1	Frame info 2	Frame info 3	Frame info 4	Frame info 5	Frame info 6	BROAD	MORPHOLOGY	TYPE	RELIEF	CODE				Radius %
1.jpg	      0		1964	3295																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.1
1.jpg	      0		1668	3394																			Open Water			Open					73.5
1.jpg	      0		1639	2417																			Open Water			Open					27.2
1.jpg	      0		1745	2422																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			31.0
1.jpg	      0		1778	3612																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			85.8
1.jpg	      0		1766	2464																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			33.3
1.jpg	      0		1852	1960																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			27.8
1.jpg	      0		1994	2498																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			43.3
1.jpg	      0		1788	2009																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			24.5
1.jpg	      0		1897	2429																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			37.2
1.jpg	      0		1672	3514																			Open Water			Open					79.5
1.jpg	      0		1933	3607																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			88.1
1.jpg	      0		1798	2733																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			45.0
1.jpg	      0		1992	3733																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			95.1
1.jpg	      0		1667	2637																			Open Water			Open					37.4
1.jpg	      0		1677	2982																			Open Water			Open					53.5
1.jpg	      0		1660	3346																			Open Water			Open					71.1
1.jpg	      0		2006	2719																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			51.2
1.jpg	      0		1664	2552																			Open Water			Open					33.5
10.jpg	      0		949	788																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			51.6
10.jpg	      0		762	444																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			70.3
10.jpg	      0		759	264																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			78.3
10.jpg	      0		571	62																			Open Water			Open					90.8
10.jpg	      0		1059	345																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			70.2
10.jpg	      0		1076	911																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			43.8
10.jpg	      0		824	1680																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			26.9
10.jpg	      0		1053	685																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			54.5
10.jpg	      0		837	255																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			77.3
10.jpg	      0		743	685																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			60.5
10.jpg	      0		648	1287																			Open Water			Open					42.1
10.jpg	      0		666	908																			Open Water			Open					53.8
10.jpg	      0		1020	432																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			66.6
10.jpg	      0		981	246																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			75.7
10.jpg	      0		961	1440																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			25.6
10.jpg	      0		918	429																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			68.1
10.jpg	      0		945	280																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.6
10.jpg	      0		833	1766																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			26.1
10.jpg	      0		897	1029																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			42.5
10.jpg	      0		985	826																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			49.2
10.jpg	      0		787	3189																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			73.5
10.jpg	      0		1033	2264																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			28.7
10.jpg	      0		922	3515																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			86.3
10.jpg	      0		683	3166																			Open Water			Open					74.6
10.jpg	      0		878	2234																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			32.6
10.jpg	      0		839	2108																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			30.4
10.jpg	      0		980	3268																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.1
10.jpg	      0		765	3682																			Unknown			Open					96.1
10.jpg	      0		677	3079																			Open Water			Open					71.0
10.jpg	      0		915	2754																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			52.0
10.jpg	      0		819	2703																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			51.9
10.jpg	      0		1059	3366																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			77.9
10.jpg	      0		783	2324																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			38.8
10.jpg	      0		819	2857																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			58.4
10.jpg	      0		854	2346																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			37.2
10.jpg	      0		865	2016																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			27.2
10.jpg	      0		694	3379																			Open Water			Open					83.7
10.jpg	      0		1061	3527																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			85.4
10.jpg	      0		553	2334																			Open Water			Open					47.8
10.jpg	      0		768	2129																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			33.8
10.jpg	      0		1684	1791																			Open Water			Open					14.7
10.jpg	      0		1692	1750																			Open Water			Open					15.1
10.jpg	      0		2064	367																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			75.1
10.jpg	      0		2126	78																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			88.9
10.jpg	      0		2014	759																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			57.5
10.jpg	      0		2065	1172																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			43.8
10.jpg	      0		2137	1062																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			49.9
10.jpg	      0		1792	1236																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			32.6
10.jpg	      0		1984	10																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			89.5
10.jpg	      0		1760	655																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			56.7
10.jpg	      0		2111	766																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			59.8
10.jpg	      0		1826	424																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			68.2
10.jpg	      0		1872	425																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			68.9
10.jpg	      0		1985	1380																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			34.8
10.jpg	      0		1728	174																			Unknown			Open					78.6
10.jpg	      0		1698	1222																			Open Water			Open					30.6
10.jpg	      0		2061	601																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			65.1
10.jpg	      0		2119	903																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			54.9
10.jpg	      0		1865	127																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			82.4
10.jpg	      0		1970	645																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			61.1
10.jpg	      0		1832	2142																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			28.0
10.jpg	      0		2010	2161																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.6
10.jpg	      0		2061	2958																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			65.6
10.jpg	      0		2061	3010																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			67.7
10.jpg	      0		1786	2534																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			41.3
10.jpg	      0		1830	3038																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			64.3
10.jpg	      0		2121	2859																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			63.1
10.jpg	      0		1959	3777																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
10.jpg	      0		1845	2360																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.9
10.jpg	      0		2022	2218																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			37.5
10.jpg	      0		1729	3641																			Open Water			Open					91.1
10.jpg	      0		1694	3561																			Open Water			Open					87.0
10.jpg	      0		1656	2279																			Open Water			Open					27.7
10.jpg	      0		2025	3182																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.3
10.jpg	      0		1986	3171																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			73.1
10.jpg	      0		1646	2055																			Open Water			Open					18.6
10.jpg	      0		1945	2715																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			52.7
10.jpg	      0		1901	2047																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			28.3
10.jpg	      0		1627	2503																			Open Water			Open					36.9
10.jpg	      0		1661	3178																			Open Water			Open					68.7
12.jpg	      0		742	1230																			Unknown			Open					45.9
12.jpg	      0		661	1146																			Unknown			Open					51.5
12.jpg	      0		760	514																			Sponges	Massive forms		Open		10000903			75.4
12.jpg	      0		968	1061																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			47.2
12.jpg	      0		887	861																			Invertebrate Complex	Complex 1		Open					57.6
12.jpg	      0		833	430																			Sponges	Erect forms		Open		10000912			78.1
12.jpg	      0		1071	504																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			71.7
12.jpg	      0		890	1870																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			22.6
12.jpg	      0		743	1668																			Unknown			Open					32.5
12.jpg	      0		1027	319																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			80.8
12.jpg	      0		598	1515																			Sponges	Hollow forms		Open		10000909			42.2
12.jpg	      0		841	1750																			Octocoral/Black	Whip		Open		11168917			26.6
12.jpg	      0		953	1834																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			20.1
12.jpg	      0		682	1560																			Sponges	Massive forms		Open		10000903			37.6
12.jpg	      0		954	1105																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			45.5
12.jpg	      0		649	1824																			Sponges	Massive forms		Open		10000903			34.4
12.jpg	      0		1034	632																			Invertebrate Complex	Complex 1		Open					66.0
12.jpg	      0		596	1773																			Sponges	Massive forms		Open		10000903			37.4
12.jpg	      0		972	1796																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			19.9
12.jpg	      0		707	394																			Unknown			Open					81.8
12.jpg	      0		878	3797																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			91.4
12.jpg	      0		835	3372																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			72.4
12.jpg	      0		669	3585																			Unknown			Open					84.9
12.jpg	      0		623	2932																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			58.4
12.jpg	      0		644	2394																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			39.9
12.jpg	      0		1037	3412																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			71.6
12.jpg	      0		568	3356																			Invertebrate Complex	Complex 1		Open					77.1
12.jpg	      0		780	3143																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			63.2
12.jpg	      0		702	3252																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			69.6
12.jpg	      0		840	3484																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			77.5
12.jpg	      0		879	2150																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			24.4
12.jpg	      0		669	2628																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			45.9
12.jpg	      0		1010	2240																			Sponges	Massive forms		Open		10000903			21.1
12.jpg	      0		741	2837																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			51.4
12.jpg	      0		658	2686																			Invertebrate Complex	Complex 1		Open					48.3
12.jpg	      0		962	2845																			Invertebrate Complex	Complex 1		Open					46.5
12.jpg	      0		967	2507																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			32.1
12.jpg	      0		1056	3228																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			62.7
12.jpg	      0		735	3420																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			76.3
12.jpg	      0		721	3737																			Unknown			Open					90.8
12.jpg	      0		2118	39																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			100.0
12.jpg	      0		1681	1516																			Open Water			Open					26.9
12.jpg	      0		1686	1761																			Open Water			Open					19.0
12.jpg	      0		2137	577																			Octocoral/Black	Branching (3D)		Open		11168902			76.9
12.jpg	      0		1841	279																			Sponges	Massive forms		Open		10000903			84.7
12.jpg	      0		1902	1320																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			40.9
12.jpg	      0		1860	1622																			Sponges	Erect forms		Open		10000912			29.7
12.jpg	      0		1882	514																			Unknown			Open					74.5
12.jpg	      0		1798	1071																			Unknown			Open					48.2
12.jpg	      0		1892	55																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			95.7
12.jpg	      0		1891	1883																			Unknown			Open					26.5
12.jpg	      0		1867	1116																			Unknown			Open					47.9
12.jpg	      0		1766	1580																			Unknown			Open					27.3
12.jpg	      0		1885	366																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			81.3
12.jpg	      0		1830	625																			Unknown			Open					68.6
12.jpg	      0		1883	1270																			Sponges	Erect forms		Open		10000912			42.2
12.jpg	      0		1942	875																			Sponges	Massive forms		Open		10000903			59.8
12.jpg	      0		1698	673																			Open Water			Open					64.5
12.jpg	      0		1898	608																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			70.6
12.jpg	      0		1777	201																			Sponges	Massive forms		Open		10000903			87.5
12.jpg	      0		1986	2372																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			36.6
12.jpg	      0		1789	2902																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			50.1
12.jpg	      0		1846	2107																			Hydroids			Open		11001000			25.0
12.jpg	      0		2015	3687																			Sponges	Massive forms		Open		10000903			89.2
12.jpg	      0		1967	3685																			Sponges	Massive forms		Open		10000903			88.3
12.jpg	      0		1970	3141																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			64.3
12.jpg	      0		2044	3220																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			69.4
12.jpg	      0		1925	2240																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			30.9
12.jpg	      0		1898	2418																			Invertebrate Complex	Complex 1		Open					34.5
12.jpg	      0		1703	2243																			Unknown			Open					21.8
12.jpg	      0		1626	2316																			Open Water			Open					21.7
12.jpg	      0		1641	2271																			Unknown			Open					20.5
12.jpg	      0		2051	2721																			Sponges	Erect forms		Open		10000912			49.9
12.jpg	      0		1816	2856																			Sponges	Erect forms		Open		10000912			48.7
12.jpg	      0		1710	2013																			Unknown			Open					17.6
12.jpg	      0		2121	2734																			Invertebrate Complex	Complex 1		Open					52.7
12.jpg	      0		1999	3284																			Octocoral/Black	Whip		Open		11168917			71.1
12.jpg	      0		1651	2846																			Unknown			Open					45.0
12.jpg	      0		1763	2925																			Unknown			Open					50.6
12.jpg	      0		2077	3713																			Unknown			Open					91.5
12.jpg	      0		1854	521																			Unknown			Open					73.7
13.jpg	      0		820	3387																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			83.7
13.jpg	      0		572	2348																			Unknown			Open					46.4
13.jpg	      0		1027	3261																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			74.7
13.jpg	      0		727	3216																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			77.1
13.jpg	      0		600	2784																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			61.1
13.jpg	      0		887	3418																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			84.3
13.jpg	      0		738	2751																			Octocoral/Black	Branching (3D)		Open		11168902			55.5
13.jpg	      0		711	3591																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			95.5
13.jpg	      0		976	3109																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			67.6
13.jpg	      0		1055	3445																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			83.8
13.jpg	      0		612	2410																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			46.7
13.jpg	      0		638	2594																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			52.3
13.jpg	      0		944	3135																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			69.4
13.jpg	      0		663	3023																			Sponges	Hollow forms		Open		10000909			69.6
13.jpg	      0		607	2773																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			60.4
13.jpg	      0		563	2014																			Unknown			Open					40.0
13.jpg	      0		777	2555																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			46.1
13.jpg	      0		569	2541																			Unknown			Open					52.8
13.jpg	      0		975	2318																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			30.1
13.jpg	      0		1060	2006																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			15.6
13.jpg	      0		2058	1538																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			41.6
13.jpg	      0		1958	752																			Octocoral/Black	Branching (3D)		Open		11168902			65.6
13.jpg	      0		1641	35																			Open Water			Open					95.3
13.jpg	      0		1897	780																			Octocoral/Black	Branching (3D)				11168902			62.8
13.jpg	      0		1647	1025																			Open Water			Open					45.8
13.jpg	      0		1838	1803																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			27.1
13.jpg	      0		1992	587																			Sponges	Massive forms		Open		10000903			74.0
13.jpg	      0		1984	1525																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			38.3
13.jpg	      0		2008	72																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			98.5
13.jpg	      0		1636	907																			Open Water			Open					51.3
13.jpg	      0		1794	1463																			Unknown			Open					31.7
13.jpg	      0		1642	1794																			Open Water			Open					17.1
13.jpg	      0		1794	1723																			Unknown			Open					25.5
13.jpg	      0		1673	1852																			Open Water			Open					18.5
13.jpg	      0		1669	1054																			Open Water			Open					44.9
13.jpg	      0		1802	1734																			Unknown			Open					25.8
13.jpg	      0		1708	655																			Open Water			Open					64.9
13.jpg	      0		1886	774																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			62.8
13.jpg	      0		1719	922																			Open Water			Open					52.2
13.jpg	      0		1936	472																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			78.0
13.jpg	      0		1027	992																			Octocoral/Black	Branching (3D)		Open		11168902			46.7
13.jpg	      0		819	438																			Octocoral/Black	Branching (3D)		Open		11168902			77.3
13.jpg	      0		679	536																			Sponges	Hollow forms		Open		10000909			75.4
13.jpg	      0		1025	1162																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			38.5
13.jpg	      0		789	1871																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			27.3
13.jpg	      0		679	1229																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			45.9
13.jpg	      0		1016	579																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			67.4
13.jpg	      0		738	770																			Hydroids			Open		11001000			63.2
13.jpg	      0		837	968																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			51.8
13.jpg	      0		730	1709																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			31.2
13.jpg	      0		879	562																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			70.2
13.jpg	      0		1058	655																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			63.1
13.jpg	      0		583	1211																			Open Water			Open					50.2
13.jpg	      0		592	1391																			Open Water			Open					44.3
13.jpg	      0		973	1454																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			27.0
13.jpg	      0		569	154																			Open Water			Open					95.7
13.jpg	      0		957	311																			Sponges	Erect forms		Open		10000912			81.6
13.jpg	      0		697	1145																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			48.5
13.jpg	      0		791	1580																			Sponges	Erect forms		Open		10000912			30.5
13.jpg	      0		653	174																			Octocoral/Black	Branching (3D)		Open		11168902			93.1
13.jpg	      0		1835	1946																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			27.3
13.jpg	      0		2110	2467																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			52.1
13.jpg	      0		1893	2750																			Hydroids			Open		11001000			55.4
13.jpg	      0		1812	2537																			Sponges	Massive forms		Open		10000903			44.0
13.jpg	      0		2027	2885																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			65.1
13.jpg	      0		1675	2037																			Open Water			Open					21.0
13.jpg	      0		1660	2149																			Open Water			Open					23.7
13.jpg	      0		1709	2590																			Open Water			Open					43.5
13.jpg	      0		1726	2016																			Sponges	Massive forms		Open		10000903			22.9
13.jpg	      0		1693	2724																			Open Water			Open					49.4
13.jpg	      0		1663	2236																			Open Water			Open					27.0
13.jpg	      0		1869	2240																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			35.1
13.jpg	      0		2002	2332																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			43.4
13.jpg	      0		1992	2777																			Invertebrate Complex	Complex 1		Open					59.5
13.jpg	      0		1937	3270																			Sponges	Hollow forms		Open		10000909			80.3
13.jpg	      0		1812	2212																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			31.9
13.jpg	      0		2118	3605																			Octocoral/Black	Branching (3D)		Open		11168902			100.0
13.jpg	      0		1970	2628																			Octocoral/Black	Branching (3D)		Open		11168902			52.7
13.jpg	      0		2054	2625																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			55.5
13.jpg	      0		1885	2661																			Hydroids			Open		11001000			51.4
15.jpg	      0		576	1153																			Open Water			Open					54.9
15.jpg	      0		720	1833																			Unknown			Open					32.5
15.jpg	      0		764	1658																			Unknown			Open					32.9
15.jpg	      0		856	830																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			60.1
15.jpg	      0		592	738																			Open Water			Open					70.5
15.jpg	      0		877	936																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			54.9
15.jpg	      0		1032	232																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			85.7
15.jpg	      0		656	417																			Open Water			Open					82.8
15.jpg	      0		616	251																			Open Water			Open					91.1
15.jpg	      0		943	1682																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			24.4
15.jpg	      0		823	569																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			72.6
15.jpg	      0		572	1236																			Open Water			Open					52.3
15.jpg	      0		1072	856																			Unconsolidated	Sand	mud (fine sand)	Open		82001015			55.1
15.jpg	      0		800	1896																			Unknown			Open					28.2
15.jpg	      0		598	1748																			Open Water			Open					39.2
15.jpg	      0		641	1765																			Open Water			Open					37.0
