"sample","latitude","longitude","date","site","location","successful.count","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.octocoral.black","broad.sponges","broad.unconsolidated","broad.total.points.annotated","mean.relief","sd.relief"
"31",-22.7936,113.5041,20210519,"outNP.7","Point Cloates","Yes",0,0,3,4,11,29,47,NA,NA
"32",-22.7537,113.4863,20210519,"outNP.8","Point Cloates","Yes",0,0,0,0,0,35,35,NA,NA
"33",-22.7163,113.4963,20210520,"outNP.9","Point Cloates","Yes",0,0,0,0,0,48,48,NA,NA
"34",-22.7662,113.4889,20210519,"outNP.10","Point Cloates","Yes",0,0,2,2,1,43,48,NA,NA
"36",-22.7564,113.4711,20210519,"outNP.12","Point Cloates","Yes",0,0,0,0,0,32,32,NA,NA
"37",-22.7836,113.4886,20210519,"outNP.13","Point Cloates","Yes",0,0,0,0,0,49,49,NA,NA
"39",-22.7938,113.4843,20210519,"outNP.15","Point Cloates","Yes",0,1,1,2,2,46,52,NA,NA
"40",-22.7809,113.4964,20210519,"outNP.16","Point Cloates","Yes",0,1,2,0,5,43,51,NA,NA
"42",-22.7887,113.4764,20210519,"outNP.18","Point Cloates","Yes",0,0,0,0,0,47,47,NA,NA
"43",-22.7587,113.4991,20210519,"outNP.19","Point Cloates","Yes",0,0,0,0,0,60,60,NA,NA
"44",-22.7912,113.5064,20210519,"outNP.20","Point Cloates","Yes",0,0,6,4,14,25,49,NA,NA
"45",-22.7512,113.4889,20210519,"outNP.21","Point Cloates","Yes",0,0,0,0,0,50,50,NA,NA
"46",-22.7463,113.5214,20210520,"outNP.22","Point Cloates","Yes",0,0,2,3,7,31,43,NA,NA
"47",-22.7637,113.4839,20210519,"outNP.23","Point Cloates","Yes",0,0,0,0,0,50,50,NA,NA
"48",-22.7712,113.4688,20210519,"outNP.24","Point Cloates","Yes",0,0,0,0,0,58,58,NA,NA
"49",-22.7986,113.4864,20210519,"outNP.25","Point Cloates","Yes",0,0,2,1,2,33,38,NA,NA
"50",-22.7026,113.556,20210520,NA,"Point Cloates","Yes",0,0,6,11,20,15,52,NA,NA
"M1",-22.7228,113.4986,20210520,NA,"Point Cloates","Yes",0,0,0,2,0,54,56,NA,NA
"248",-22.7609,113.5473,20220519,NA,NA,"Yes",0,0,0,0,0,78,78,0,0
"224",-22.7598,113.5487,20220519,NA,NA,"Yes",0,0,0,0,0,74,74,0,0
"232",-22.7576,113.5368,20220519,NA,NA,"Yes",0,0,3,4,1,66,74,0.181818181818182,0.474962341232677
"211",-22.7554,113.54,20220519,NA,NA,"Yes",0,0,2,2,2,73,79,0.125,0.333711906235957
"226",-22.7536,113.5408,20220519,NA,NA,"Yes",0,0,0,0,0,79,79,0,0
"203",-22.7548,113.55,20220519,NA,NA,"Yes",0,0,1,0,0,72,73,0.134615384615385,0.344642250084035
"207",-22.7523,113.5552,20220519,NA,NA,"Yes",0,0,0,0,0,79,79,0.0377358490566038,0.192380247561097
"221",-22.7519,113.5483,20220519,NA,NA,"Yes",0,0,0,0,0,80,80,0.0172413793103448,0.131306432859723
"264",-22.7655,113.5389,20220519,NA,NA,"Yes",25,0,0,7,15,11,58,1.69047619047619,0.896826253344299
"262",-22.7635,113.5347,20220519,NA,NA,"Yes",0,0,0,9,3,53,65,0.468085106382979,0.545776822909815
"265",-22.7561,113.529,20220519,NA,NA,"Yes",0,1,1,4,6,63,75,0.37037037037037,0.681183661718565
"266",-22.7531,113.5301,20220519,NA,NA,"Yes",0,0,0,9,10,56,75,0.679245283018868,0.510414044057913
"253",-22.7509,113.538,20220519,NA,NA,"Yes",0,0,3,4,2,64,73,0.25,0.436666882304686
"270",-22.7511,113.5387,20220519,NA,NA,"Yes",4,0,2,5,6,31,48,1.06976744186047,1.33444029353507
"201",-22.7488,113.5378,20220519,NA,NA,"Yes",0,0,0,2,2,71,75,0.12280701754386,0.331133089266261
"237",-22.7502,113.5462,20220519,NA,NA,"Yes",0,0,0,0,0,79,79,0,0
"240",-22.749,113.5509,20220519,NA,NA,"Yes",0,0,0,0,0,77,77,0.0508474576271186,0.221571877771722
"255",-22.7444,113.5428,20220521,NA,NA,"Yes",0,0,0,0,0,72,72,0,0
"216",-22.7451,113.5437,20220521,NA,NA,"Yes",0,0,1,1,0,64,66,0.166666666666667,0.376621788577355
"269",-22.7429,113.5458,20220521,NA,NA,"Yes",0,0,2,0,2,75,79,0.05,0.219784177651083
"231",-22.7464,113.5529,20220521,NA,NA,"Yes",0,0,0,0,0,77,77,0,0
"245",-22.7436,113.5519,20220521,NA,NA,"Yes",0,0,0,1,0,77,78,0.05,0.219784177651083
"209",-22.7402,113.5521,20220521,NA,NA,"Yes",0,0,0,0,0,76,76,0.0178571428571429,0.133630620956212
"230",-22.7341,113.5543,20220523,NA,NA,"Yes",0,0,0,0,0,64,64,0,0
"274",-22.7343,113.5502,20220523,NA,NA,"Yes",0,0,0,4,1,52,57,0.377777777777778,0.4903101471559
"205",-22.7321,113.5508,20220523,NA,NA,"Yes",0,0,1,24,6,28,59,1.06382978723404,0.247092248145165
"214",-22.733,113.5497,20220523,NA,NA,"Yes",0,0,2,0,0,74,76,0.0576923076923077,0.235435477898709
"256",-22.7326,113.5465,20220523,NA,NA,"Yes",0,0,0,6,0,48,54,0.2,0.405095746833467
"233",-22.7305,113.5526,20220523,NA,NA,"Yes",0,0,0,0,0,58,58,0,0
"251",-22.7277,113.554,20220523,NA,NA,"Yes",0,0,0,1,0,58,59,0.075,0.266746782836918
"212",-22.728,113.556,20220523,NA,NA,"Yes",0,0,0,0,1,71,72,0.0196078431372549,0.140028008402801
"227",-22.7262,113.5569,20220523,NA,NA,"No",0,0,1,2,0,73,76,0.0175438596491228,0.132453235706504
"235",-22.7275,113.5434,20220525,NA,NA,"Yes",0,0,0,0,0,57,57,0,0
"218",-22.726,113.5411,20220525,NA,NA,"Yes",0,0,0,2,1,48,51,0.102564102564103,0.307354740604728
"249",-22.7248,113.5444,20220525,NA,NA,"Yes",0,0,0,0,0,50,50,0.0277777777777778,0.166666666666667
"208",-22.7252,113.5464,20220525,NA,NA,"Yes",0,0,0,2,1,55,58,0.1,0.3038218101251
"228",-22.7233,113.5472,20220525,NA,NA,"Yes",0,0,0,0,0,60,60,0.025,0.158113883008419
"243",-22.7206,113.5573,20220525,NA,NA,"Yes",0,0,1,0,0,72,73,0.0392156862745098,0.196039211763921
"217",-22.7179,113.5593,20220525,NA,NA,"Yes",0,0,0,1,0,66,67,0.0681818181818182,0.254971705929353
"223",-22.7188,113.5517,20220525,NA,NA,"Yes",0,0,0,1,0,63,64,0.025,0.158113883008419
"260",-22.7177,113.5525,20220525,NA,NA,"Yes",0,0,1,3,0,49,53,0.3,0.464095480892257
"236",-22.717,113.5499,20220525,NA,NA,"Yes",0,0,0,0,0,49,49,0,0
"215",-22.712,113.5562,20220525,NA,NA,"Yes",0,0,0,0,0,53,53,0,0
"225",-22.7084,113.5624,20220525,NA,NA,"Yes",0,1,0,8,2,47,58,0.4,0.545376839841863
"252",-22.7054,113.5576,20220525,NA,NA,"Yes",0,0,0,3,1,55,59,0.2,0.405095746833467
"220",-22.7067,113.5554,20220525,NA,NA,"Yes",0,0,2,25,10,16,53,1.33333333333333,0.570265948512201
"268",-22.7054,113.5501,20220525,NA,NA,"Yes",0,1,1,0,0,50,52,0.15,0.36162028533979
"247",-22.7047,113.5467,20220525,NA,NA,"Yes",0,0,0,37,2,13,52,1.40425531914894,0.648059795553154
"254",-22.6993,113.5499,20220525,NA,NA,"Yes",0,2,1,14,6,33,56,1,0.223606797749979
"242",-22.7009,113.5519,20220525,NA,NA,"Yes",0,0,1,13,4,32,50,0.58974358974359,0.63734435532172
"206",-22.7019,113.5608,20220525,NA,NA,"Yes",0,0,2,6,2,49,59,0.377777777777778,0.534657447211377
"257",-22.7001,113.5592,20220525,NA,NA,NA,0,0,3,0,5,28,36,0.5,0.50709255283711
"229",-22.6961,113.5632,20220526,NA,NA,NA,0,0,0,2,1,37,40,0.325,0.474341649025257
"250",-22.6972,113.5605,20220526,NA,NA,NA,0,2,0,3,0,45,50,0.333333333333333,0.477118723613698
"258",-22.6958,113.5593,20220526,NA,NA,NA,4,0,0,0,0,57,61,0.372093023255814,0.976467291870559
"234",-22.6938,113.5563,20220526,NA,NA,NA,0,0,0,0,0,49,49,0.0294117647058824,0.171498585142509
"213",-22.6919,113.5534,20220526,NA,NA,NA,0,1,0,0,0,53,54,0,0
"204",-22.6911,113.5576,20220526,NA,NA,NA,0,0,1,14,1,41,57,0.543478260869565,0.78049903520847
"261",-22.6899,113.5608,20220526,NA,NA,NA,0,0,0,12,0,37,49,0.725,0.554122082262819
"222",-22.6884,113.561,20220526,NA,NA,NA,0,0,0,0,0,59,59,0.025,0.158113883008419
"246",-22.6891,113.5588,20220526,NA,NA,NA,0,0,0,0,0,52,52,0,0
"239",-22.6885,113.5564,20220526,NA,NA,NA,0,0,0,0,1,48,49,0.166666666666667,0.379049021789452
"238",-22.6864,113.5594,20220527,NA,NA,NA,0,0,0,0,0,55,55,0.025,0.158113883008419
"210",-22.686,113.5589,20220527,NA,NA,NA,0,0,0,0,0,48,48,0.0277777777777778,0.166666666666667
"202",-22.6851,113.5571,20220527,NA,NA,NA,0,0,0,0,0,57,57,0,0
"263",-22.684,113.5635,20220527,NA,NA,NA,8,0,1,13,15,9,46,1.42424242424242,0.902437775912522
"271",-22.6776,113.5654,20220527,NA,NA,NA,0,0,1,17,1,33,52,0.795454545454545,0.408032457358392
"273",-22.6741,113.5665,20220527,NA,NA,NA,22,0,1,10,2,40,75,2.19642857142857,1.35404636495268
"267",-22.6751,113.5615,20220527,NA,NA,NA,0,0,0,6,3,57,66,0.375,0.49029033784546
