Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Habitat.Length.analyst,Length.Habitat.Date,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
251,-22.7277,113.554,20220523,10:37:45,,,No-take,76.4,Claude Spencer,Yes,Yes,Kat,21/02/2023,After drop #12 was off. Restarted and resynced white flashers.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
212,-22.728,113.556,20220523,11:00:30,,,No-take,75,Claude Spencer,Yes,Yes,Kat,21/02/2023,eDNA. cams checked - GTG.,RAW1,CON1,Yes,Gabby Cummins,,,Claude Spencer,20220823,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
227,-22.7262,113.5569,20220523,11:15:33,,,No-take,74.3,,No,No,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,N/A,,N/A,N/A,N/A,tips over and drags early on
235,-22.7275,113.5434,20220525,11:43:41,,,No-take,93,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,All red lights on. ,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20220920,N/A,N/A,N/A,no fish :(
218,-22.726,113.5411,20220525,11:55:43,,,No-take,97.7,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,Showed whiteboard after drop.,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20220920,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
249,-22.7248,113.5444,20220525,12:07:55,,,No-take,92.3,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20220920,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
208,-22.7252,113.5464,20220525,12:23:31,,,No-take,89.2,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221027,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
228,-22.7233,113.5472,20220525,13:01:14,,,No-take,88,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,White flashy sync lights.,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
243,-22.7206,113.5573,20220525,13:14:20,,,No-take,74.4,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
217,-22.7179,113.5593,20220525,13:28:40,,,No-take,73.2,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
223,-22.7188,113.5517,20220525,13:41:07,,,No-take,80.5,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
260,-22.7177,113.5525,20220525,13:53:04,,,No-take,83.6,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,B50 - preferential site. Checked red lights after drop. GTG. eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
236,-22.717,113.5499,20220525,14:07:15,,,No-take,86.2,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,N/A,N/A,N/A,no fish :(
215,-22.712,113.5562,20220525,14:19:59,,,No-take,79.6,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,N/A,N/A,N/A,no fish (where have they gone?)
225,-22.7084,113.5624,20220525,14:33:25,,,No-take,72.1,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
252,-22.7054,113.5576,20220525,14:49:34,,,No-take,79.3,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,N/A,N/A,N/A,still no fish (I blame the sharks from 4 vids ago)
220,-22.7067,113.5554,20220525,15:00:42,,,No-take,80.8,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
268,-22.7054,113.5501,20220525,15:12:08,,,No-take,90.6,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230329,Post-CAL
247,-22.7047,113.5467,20220525,15:26:15,,,No-take,96.4,Kaitlin McCloghry,Yes,No,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,N/A,N/A,N/A,
254,-22.6993,113.5499,20220525,15:40:10,,,No-take,96,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,White flashy light synced. Red lights checked. GTG,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230328,Post-CAL
242,-22.7009,113.5519,20220525,15:53:38,,,No-take,88.5,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,eDNA,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,Molly Gerrans,Molly Gerrans,20230328,Post-CAL
206,-22.7019,113.5608,20220525,16:07:23,,,No-take,76.6,Kaitlin McCloghry,Yes,Yes,Kat,21/02/2023,,RAW1,CON1,Yes,Gabby Cummins,,,Kaitlin McCloghry,20221028,N/A,N/A,N/A,no fish
257,-22.7001,113.5592,20220525,16:18:12,,,No-take,79.4,Henry Evans,Yes,Yes,Kat,21/02/2023,B47 - preferential site,RAW1,CON1,Yes,Gabby Cummins,,,Henry Evans,20230314,Molly Gerrans,Molly Gerrans,20230328,Post-CAL
229,-22.6961,113.5632,20220526,13:54:13,,,No-take,76.2,Henry Evans,Yes,Yes,Kat,21/02/2023,Checked red lights - GTG.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230314,N/A,N/A,N/A,no fish
250,-22.6972,113.5605,20220526,14:06:02,,,No-take,78.1,Henry Evans,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230314,Molly Gerrans,Molly Gerrans,20230403,Post-CAL
258,-22.6958,113.5593,20220526,14:20:39,,,No-take,79.6,Henry Evans,Yes,Yes,Kat,21/02/2023,Synced white flashy lights before drop. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
234,-22.6938,113.5563,20220526,14:39:27,,,No-take,85.6,Henry Evans,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,N/A,N/A,N/A,no fish
213,-22.6919,113.5534,20220526,14:52:29,,,No-take,93.5,Henry Evans,Yes,Yes,Kat,21/02/2023,Forgot to show whiteboard before - shown after.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
204,-22.6911,113.5576,20220526,15:07:11,,,No-take,85.8,Henry Evans,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
261,-22.6899,113.5608,20220526,15:21:00,,,No-take,78.8,Molly Gerrans ,Yes,Yes,Kat,21/02/2023,B51 - preferential site. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Molly Gerrans,20230127,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
222,-22.6884,113.561,20220526,15:37:06,,,No-take,78.2,Henry Evans,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,N/A,N/A,N/A,No fish :(
246,-22.6891,113.5588,20220526,15:52:13,,,No-take,84.3,Henry Evans,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230315,N/A,N/A,N/A,No fish :(
239,-22.6885,113.5564,20220526,16:04:43,,,No-take,90.5,Molly Gerrans ,Yes,Yes,Kat,21/02/2023,eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Molly Gerrans,20230127,N/A,N/A,N/A,No fish :(
238,-22.6864,113.5594,20220527,8:35:45,,,No-take,85.9,Henry Evans,Yes,Yes,Kat,21/02/2023,,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
210,-22.686,113.5589,20220527,8:51:10,,,No-take,87.7,Henry Evans,Yes,Yes,Kat,21/02/2023,Missed board completely.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
202,-22.6851,113.5571,20220527,9:03:52,,,No-take,91.4,Henry Evans,Yes,Yes,Kat,21/02/2023,Showed whiteboard after drop.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
263,-22.684,113.5635,20220527,9:17:26,,,No-take,77.7,Henry Evans,Yes,Yes,Kat,21/02/2023,B53 - preferential site. Showed whiteboard before drop.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,N/A,N/A,N/A,no fish
271,-22.6776,113.5654,20220527,9:32:15,,,No-take,79.5,Henry Evans,Yes,Yes,Kat,21/02/2023,B61 - preferential site. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,N/A,N/A,N/A,no fish 
273,-22.6741,113.5665,20220527,9:48:58,,,No-take,77.2,Henry Evans,Yes,Yes,Kat,21/02/2023,B63 - preferential site. Red cams checked after drop - GTG.,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
267,-22.6751,113.5615,20220527,10:02:00,,,No-take,88.4,Henry Evans,Yes,Yes,Kat,21/02/2023,B57 - preferential site. eDNA,RAW2,CON1,Yes,Gabby Cummins,,,Henry Evans,20230316,Molly Gerrans,Molly Gerrans,20230323,Post-CAL
